tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
232.835,2.9314,9.9792,0.0000,-0.1466,15.0000
232.885,3.0562,2.4948,0.0000,-0.2994,15.0000
232.935,3.4304,7.4844,0.0000,-0.4709,15.0000
232.985,2.9938,-8.7318,0.0000,-0.6206,15.0000
233.035,3.3680,7.4844,0.0000,-0.7890,15.0000
233.085,3.6175,4.9896,0.0000,-0.9699,15.0000
233.135,3.9917,7.4844,0.0000,-1.1694,15.0000
233.185,4.1788,3.7422,0.0000,-1.3784,15.0000
233.235,4.3659,3.7422,0.0000,-1.5967,15.0000
233.285,4.4907,2.4948,0.0000,-1.8212,15.0000
233.335,4.6778,3.7422,0.0000,-2.0551,15.0000
233.385,4.8025,2.4948,0.0000,-2.2952,15.0000
233.435,4.9896,3.7422,0.0000,-2.5447,15.0000
233.485,5.1768,3.7422,0.0000,-2.8036,15.0000
233.535,5.3639,3.7422,0.0000,-3.0718,15.0000
233.585,5.4262,1.2474,0.0000,-3.3431,15.0000
233.635,5.6133,3.7422,0.0000,-3.6237,15.0000
233.685,5.6133,0.0000,0.0000,-3.9044,15.0000
233.735,5.6757,1.2474,0.0000,-4.1882,15.0000
233.785,5.8005,2.4948,0.0000,-4.4782,15.0000
233.835,5.8628,1.2474,0.0000,-4.7713,15.0000
233.885,5.9252,1.2474,0.0000,-5.0676,15.0000
233.935,5.8628,-1.2474,0.0000,-5.3607,15.0000
233.985,5.8628,0.0000,0.0000,-5.6539,15.0000
234.035,5.8628,0.0000,0.0000,-5.9470,15.0000
234.085,6.0499,3.7422,0.0000,-6.2495,15.0000
234.135,5.9252,-2.4948,0.0000,-6.5458,15.0000
234.185,6.0499,2.4948,0.0000,-6.8483,15.0000
234.235,5.8628,-3.7422,0.0000,-7.1414,15.0000
234.285,5.9876,2.4948,0.0000,-7.4408,15.0000
234.335,5.9876,0.0000,0.0000,-7.7402,15.0000
234.385,5.8628,-2.4948,0.0000,-8.0333,15.0000
234.435,5.9252,1.2474,0.0000,-8.3296,15.0000
234.485,5.8005,-2.4948,0.0000,-8.6196,15.0000
234.535,5.9252,2.4948,0.0000,-8.9159,15.0000
234.585,5.7381,-3.7422,0.0000,-9.2028,15.0000
234.635,5.8005,1.2474,0.0000,-9.4928,15.0000
234.685,5.6757,-2.4948,0.0000,-9.7766,15.0000
234.735,5.6757,0.0000,0.0000,-10.0604,15.0000
234.785,5.5510,-2.4948,0.0000,-10.3379,15.0000
234.835,5.5510,0.0000,0.0000,-10.6155,15.0000
234.885,5.4262,-2.4948,0.0000,-10.8868,15.0000
234.935,5.4262,0.0000,0.0000,-11.1581,15.0000
234.985,5.4262,0.0000,0.0000,-11.4294,15.0000
235.035,5.4262,0.0000,0.0000,-11.7007,15.0000
235.085,5.4262,0.0000,0.0000,-11.9720,15.0000
235.135,5.3639,-1.2474,0.0000,-12.2402,15.0000
235.185,5.3015,-1.2474,0.0000,-12.5053,15.0000
235.235,5.3015,0.0000,0.0000,-12.7704,15.0000
235.285,5.2391,-1.2474,0.0000,-13.0323,15.0000
235.335,5.2391,0.0000,0.0000,-13.2943,15.0000
235.385,5.2391,0.0000,0.0000,-13.5562,15.0000
235.435,5.2391,0.0000,0.0000,-13.8182,15.0000
235.485,5.3015,1.2474,0.0000,-14.0832,15.0000
235.535,5.2391,-1.2474,15.0000,0.4880,15.0000
235.585,5.3639,2.4948,15.0000,0.9698,15.0000
235.635,5.2391,-2.4948,15.0000,1.4579,15.0000
235.685,5.3015,1.2474,15.0000,1.9428,15.0000
235.735,5.3015,0.0000,15.0000,2.4277,15.0000
235.785,5.3015,0.0000,15.0000,2.9127,15.0000
235.835,5.1768,-2.4948,15.0000,3.4038,15.0000
235.885,5.1768,0.0000,15.0000,3.8950,15.0000
