tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
30.477,7.3597,3.7422,15.0000,45.0029,22.0425
30.527,7.6092,4.9896,15.0000,45.3725,23.6964
30.577,7.7339,2.4948,15.0000,45.7358,22.0000
30.627,8.0458,6.2370,15.0000,46.0835,25.8337
30.677,8.2329,3.7422,15.0000,46.4218,24.2985
30.727,8.2329,0.0000,15.0000,46.7602,21.2705
30.777,8.4200,3.7422,15.0000,47.0892,24.7819
30.827,8.6071,3.7422,15.0000,47.4089,25.2653
30.877,8.6071,0.0000,15.0000,47.7285,22.2373
30.927,8.9190,6.2370,15.0000,48.0325,28.0896
30.977,8.9813,1.2474,15.0000,48.3335,24.2135
31.027,9.0437,1.2474,15.0000,48.6313,24.3746
31.077,9.2308,3.7422,15.0000,48.9198,26.8767
31.127,9.4179,3.7422,15.0000,49.1989,27.3601
31.177,9.3555,-1.2474,15.0000,49.4811,23.1617
31.227,9.4803,2.4948,15.0000,49.7571,26.5119
31.277,9.4803,0.0000,15.0000,50.0331,24.4933
31.327,9.5427,1.2474,15.0000,50.3059,25.6637
31.377,9.6674,2.4948,15.0000,50.5725,26.9953
31.427,9.5427,-2.4948,15.0000,50.8454,22.6357
31.477,9.7298,3.7422,15.0000,51.1089,28.1658
31.527,9.7921,1.2474,15.0000,51.3693,26.3083
31.577,9.6674,-2.4948,15.0000,51.6360,22.9580
31.627,9.6050,-1.2474,15.0000,51.9057,23.8062
31.677,9.6674,1.2474,15.0000,52.1723,25.9860
31.727,9.6050,-1.2474,15.0000,52.4421,23.8062
31.777,9.6050,0.0000,15.0000,52.7118,24.8155
31.827,9.6050,0.0000,15.0000,52.9816,24.8155
31.877,9.6050,0.0000,15.0000,53.2513,24.8155
31.927,9.6050,0.0000,15.0000,53.5211,24.8155
31.977,9.7921,3.7422,15.0000,53.7815,28.3269
32.027,9.5427,-4.9896,15.0000,54.0543,20.6171
32.077,9.5427,0.0000,15.0000,54.3272,24.6544
32.127,9.6674,2.4948,15.0000,54.5938,26.9953
