tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
107.730,16.5281,-2.4948,0.0000,-68.6197,40.6834
107.780,16.5905,1.2474,0.0000,-69.4492,43.8724
107.830,16.9023,6.2370,0.0000,-70.2943,48.7154
107.880,17.0271,2.4948,0.0000,-71.1457,46.0098
107.930,17.0271,0.0000,0.0000,-71.9970,43.9911
107.980,16.8399,-3.7422,0.0000,-72.8390,40.4797
108.030,17.9002,21.2058,0.0000,-73.7340,63.4056
108.080,17.4013,-9.9792,0.0000,-74.6041,36.8833
108.130,17.4013,0.0000,0.0000,-75.4741,44.9579
108.180,17.6508,4.9896,0.0000,-76.3567,49.6398
108.230,18.1497,9.9792,0.0000,-77.2642,54.9662
108.280,17.4013,-14.9688,0.0000,-78.1342,32.8460
108.330,18.0873,13.7214,0.0000,-79.0386,57.8331
108.380,17.7755,-6.2370,0.0000,-79.9274,40.8782
108.430,17.9002,2.4948,0.0000,-80.8224,48.2657
108.480,18.0250,2.4947,0.0000,-81.7236,48.5879
108.530,18.5863,11.2266,0.0000,-82.6530,57.1035
108.580,18.2745,-6.2370,0.0000,-83.5667,42.1673
108.630,17.9002,-7.4844,0.0000,-84.4617,40.1911
108.680,18.8358,18.7110,0.0000,-85.4035,63.8040
108.730,18.3368,-9.9792,0.0000,-86.3203,39.3004
108.780,18.2121,-2.4948,0.0000,-87.2309,45.0341
108.830,18.3368,2.4948,0.0000,-88.1478,49.3937
108.880,18.6487,6.2370,0.0000,-89.0802,53.2273
108.930,18.1497,-9.9792,0.0000,-89.9877,38.8170
108.980,18.6487,9.9792,0.0000,-90.9201,56.2553
109.030,18.7110,1.2474,0.0000,-91.8557,49.3512
109.080,18.9605,4.9896,0.0000,-92.8037,53.0237
109.130,18.3368,-12.4740,0.0000,-93.7205,37.2818
109.180,18.5863,4.9896,0.0000,-94.6498,52.0569
109.230,18.5239,-1.2474,0.0000,-95.5760,46.8491
109.280,18.4616,-1.2474,0.0000,-96.4991,46.6880
109.330,18.5863,2.4948,0.0000,-97.4284,50.0382
109.380,18.3992,-3.7422,0.0000,-98.3484,44.5082
109.430,18.8358,8.7318,0.0000,-99.2902,55.7294
109.480,19.0229,3.7422,0.0000,-100.2413,52.1756
109.530,19.0853,1.2474,0.0000,-101.1956,50.3180
109.580,18.5863,-9.9792,0.0000,-102.1249,39.9450
109.630,18.8982,6.2370,0.0000,-103.0698,53.8719
109.680,18.8982,0.0000,0.0000,-104.0147,48.8253
109.730,18.2121,-13.7214,0.0000,-104.9253,35.9502
109.780,17.6508,-11.2266,0.0000,-105.8079,36.5186
109.830,18.2745,12.4740,0.0000,-106.7216,57.3071
109.880,17.9002,-7.4844,0.0000,-107.6166,40.1911
109.930,18.7734,17.4636,0.0000,-108.5553,62.6335
109.980,18.7734,0.0000,0.0000,-109.4939,48.5030
110.030,18.7110,-1.2474,0.0000,-110.4295,47.3325
110.080,19.1476,8.7318,0.0000,-111.3869,56.5351
110.130,19.4595,6.2370,0.0000,-112.3599,55.3222
110.180,18.2121,-24.9480,0.0000,-113.2705,26.8663
110.230,18.7110,9.9792,0.0000,-114.2060,56.4164
110.280,18.0250,-13.7214,0.0000,-115.1073,35.4667
110.330,18.2745,4.9896,0.0000,-116.0210,51.2512
110.380,18.5239,4.9896,0.0000,-116.9472,51.8958
110.430,17.9626,-11.2266,0.0000,-117.8453,37.3243
110.480,18.5863,12.4740,0.0000,-118.7746,58.1128
110.530,18.8358,4.9896,0.0000,-119.7164,52.7015
110.580,18.2745,-11.2266,0.0000,-120.6301,38.1300
110.630,17.7755,-9.9792,0.0000,-121.5189,37.8502
110.680,18.4616,13.7214,0.0000,-122.4420,58.7999
110.730,18.7110,4.9896,0.0000,-123.3775,52.3792
110.780,18.3992,-6.2370,0.0000,-124.2975,42.4895
110.830,18.0873,-6.2370,0.0000,-125.2019,41.6839
110.880,17.9002,-3.7422,0.0000,-126.0969,43.2191
110.930,17.9002,0.0000,0.0000,-126.9919,46.2471
110.980,17.9626,1.2474,0.0000,-127.8900,47.4175
111.030,17.6508,-6.2370,0.0000,-128.7726,40.5559
111.080,18.0873,8.7318,0.0000,-129.6769,53.7957
111.130,17.6508,-8.7318,0.0000,-130.5595,38.5372
111.180,17.4636,-3.7422,0.0000,-131.4326,42.0911
111.230,17.2765,-3.7422,0.0000,-132.2965,41.6077
111.280,17.5884,6.2370,0.0000,-133.1759,50.4880
111.330,17.4636,-2.4948,0.0000,-134.0491,43.1005
111.380,16.8399,-12.4740,0.0000,-134.8911,33.4144
111.430,16.6528,-3.7422,0.0000,-135.7237,39.9963
111.480,17.0271,7.4844,0.0000,-136.5751,50.0471
111.530,16.8399,-3.7422,0.0000,-137.4171,40.4797
111.580,17.0894,4.9896,0.0000,-138.2715,48.1895
111.630,17.2765,3.7422,0.0000,-139.1354,47.6637
111.680,16.9647,-6.2370,0.0000,-139.9836,38.7833
111.730,16.9023,-1.2474,0.0000,-140.8287,42.6595
111.780,17.3389,8.7318,0.0000,-141.6956,51.8621
111.830,16.5905,-14.9688,0.0000,-142.5252,30.7512
111.880,16.9023,6.2370,0.0000,-143.3703,48.7154
111.930,16.6528,-4.9896,0.0000,-144.2029,38.9870
111.980,16.3410,-6.2370,0.0000,-145.0200,37.1720
112.030,16.0915,-4.9896,0.0000,-145.8245,37.5367
112.080,15.9044,-3.7422,0.0000,-146.6198,38.0626
112.130,16.7152,16.2162,0.0000,-147.4555,56.3066
112.180,16.4657,-4.9896,0.0000,-148.2788,38.5036
112.230,16.0915,-7.4844,0.0000,-149.0834,35.5181
112.280,16.4034,6.2370,0.0000,-149.9036,47.4263
112.330,16.2786,-2.4948,0.0000,-150.7175,40.0388
112.380,16.4034,2.4948,0.0000,-151.5377,44.3984
112.430,15.7797,-12.4740,0.0000,-152.3266,30.6751
112.480,15.9668,3.7422,0.0000,-153.1250,44.2797
112.530,15.9668,0.0000,0.0000,-153.9233,41.2517
112.580,15.9668,0.0000,0.0000,-154.7217,41.2517
112.630,15.5302,-8.7318,0.0000,-155.4982,33.0585
112.680,15.9668,8.7318,0.0000,-156.2965,48.3170
112.730,15.3431,-12.4740,0.0000,-157.0637,29.5471
112.780,15.3431,0.0000,0.0000,-157.8308,39.6403
112.830,15.2183,-2.4948,0.0000,-158.5917,37.2994
112.880,14.9688,-4.9896,0.0000,-159.3402,34.6362
112.930,15.5302,11.2266,0.0000,-160.1167,49.2077
112.980,15.1560,-7.4844,0.0000,-160.8745,33.1010
113.030,14.8441,-6.2370,0.0000,-161.6167,33.3046
113.080,14.9065,1.2474,0.0000,-162.3620,39.5217
113.130,14.4699,-8.7318,0.0000,-163.0855,30.3191
113.180,14.7817,6.2370,0.0000,-163.8246,43.2367
113.230,14.5946,-3.7422,0.0000,-164.5543,34.6787
113.280,14.7194,2.4948,0.0000,-165.2903,40.0476
113.330,14.6570,-1.2474,0.0000,-166.0231,36.8585
113.380,14.4075,-4.9896,0.0000,-166.7435,33.1859
113.430,14.4075,0.0000,0.0000,-167.4639,37.2233
113.480,14.1580,-4.9896,0.0000,-168.1718,32.5414
113.530,14.2204,1.2474,0.0000,-168.8828,37.7492
113.580,14.4075,3.7422,0.0000,-169.6032,40.2512
113.630,13.9086,-9.9792,0.0000,-170.2986,27.8596
113.680,14.0333,2.4948,0.0000,-171.0003,38.2751
113.730,13.7214,-6.2370,0.0000,-171.6864,30.4041
113.780,13.8462,2.4948,0.0000,-172.3787,37.7916
113.830,13.7838,-1.2474,0.0000,-173.0679,34.6025
113.880,13.6591,-2.4948,0.0000,-173.7508,33.2709
113.930,13.4720,-3.7422,0.0000,-174.4244,31.7782
113.980,13.2225,-4.9896,0.0000,-175.0855,30.1243
114.030,13.4720,4.9896,0.0000,-175.7591,38.8435
114.080,13.4096,-1.2474,0.0000,-176.4296,33.6357
114.130,13.8462,8.7318,0.0000,-177.1219,42.8383
114.180,13.4096,-8.7318,0.0000,-177.7924,27.5798
114.230,13.7838,7.4844,0.0000,-178.4816,41.6678
114.280,13.4096,-7.4844,0.0000,-179.1521,28.5891
114.330,13.4720,1.2474,0.0000,-179.8257,35.8155
114.380,13.0354,-8.7318,0.0000,-180.4774,26.6129
114.430,13.3472,6.2370,0.0000,-181.1448,39.5305
114.480,13.1601,-3.7422,0.0000,-181.8028,30.9725
114.530,13.3472,3.7422,0.0000,-182.4702,37.5119
114.580,13.0977,-4.9896,0.0000,-183.1251,29.8020
114.630,13.5967,9.9792,0.0000,-183.8049,43.2030
114.680,13.1601,-8.7318,0.0000,-184.4629,26.9352
114.730,13.5967,8.7318,0.0000,-185.1427,42.1937
114.780,13.2849,-6.2370,0.0000,-185.8070,29.2761
114.830,13.6591,7.4844,0.0000,-186.4899,41.3455
114.880,13.4096,-4.9896,0.0000,-187.1604,30.6077
114.930,13.3472,-1.2474,0.0000,-187.8278,33.4746
114.980,13.2849,-1.2474,0.0000,-188.4920,33.3134
115.030,13.6591,7.4844,0.0000,-189.1750,41.3455
115.080,13.5967,-1.2474,0.0000,-189.8548,34.1191
115.130,13.6591,1.2474,0.0000,-190.5378,36.2989
115.180,13.7214,1.2474,0.0000,-191.2238,36.4601
115.230,13.1601,-11.2266,0.0000,-191.8818,24.9165
115.280,13.6591,9.9792,0.0000,-192.5648,43.3642
115.330,13.8462,3.7422,0.0000,-193.2571,38.8010
115.380,13.5343,-6.2370,0.0000,-193.9338,29.9207
115.430,13.6591,2.4948,0.0000,-194.6168,37.3082
115.480,13.5343,-2.4948,0.0000,-195.2935,32.9487
115.530,13.6591,2.4948,0.0000,-195.9764,37.3082
115.580,13.4720,-3.7422,0.0000,-196.6500,31.7782
115.630,13.5967,2.4948,0.0000,-197.3299,37.1471
115.680,13.9709,7.4844,0.0000,-198.0284,42.1512
115.730,13.9709,0.0000,0.0000,-198.7270,36.0953
115.780,13.8462,-2.4948,0.0000,-199.4193,33.7544
115.830,13.8462,0.0000,0.0000,-200.1116,35.7730
115.880,13.8462,0.0000,0.0000,-200.8039,35.7730
115.930,13.7214,-2.4948,0.0000,-201.4900,33.4321
115.980,13.3472,-7.4844,0.0000,-202.1573,28.4279
116.030,13.6591,6.2370,0.0000,-202.8403,40.3362
116.080,13.7214,1.2474,0.0000,-203.5264,36.4601
116.130,13.4720,-4.9896,0.0000,-204.2000,30.7688
116.180,13.7214,4.9896,0.0000,-204.8860,39.4880
116.230,13.5343,-3.7422,0.0000,-205.5627,31.9393
