tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K,x_ddot,posicao_cm_norm,velocidade_cms_norm,x_ref_cm_norm,e_int_norm,u_K_norm
25.827,2.2454,-16.2162,15.0,0.6377,-7.3201,71.50539130434791,-2.1657190198620055,-3.3856392815013057,0.9772538915293345,-0.12954513041235813,-3.2090105233276898
25.877,3.3057,21.2058,15.0,1.2224,25.699,63.49287871853555,-1.8955401370000495,4.412913436482873,0.9772538915293345,-0.11780308058980185,-0.19061162637247103
25.927,3.5551,4.9896,15.0,1.7947,13.2223,48.19156064073232,-1.8319896198013588,1.033540592023062,0.9772538915293345,-0.10631004978178242,-1.3311532376714215
25.977,4.4283,17.4636,15.0,2.3233,25.5715,34.33765675057213,-1.6094863655194949,3.6330581646844546,0.9772538915293345,-0.09569461017821948,-0.20226687619338665
26.027,4.9273,9.9792,15.0,2.8269,20.8047,21.931167048054938,-1.4823343683978163,2.073347621087619,0.9772538915293345,-0.0855812250394486,-0.6380178161646801
26.077,5.3015,7.4844,15.0,3.3118,19.7529,10.972091533180777,-1.3869831112376314,1.5534441065553406,0.9772538915293345,-0.07584337664034216,-0.7341667711579264
26.127,5.6757,7.4844,15.0,3.7781,20.7197,1.4604302059496277,-1.2916318540774465,1.5534441065553406,0.9772538915293345,-0.066479056763041,-0.6457879827119571
26.177,6.0499,7.4844,15.0,4.2256,21.6865,-6.603816933638438,-1.1962805969172616,1.5534441065553406,0.9772538915293345,-0.057492281843263444,-0.5574091942659879
26.227,6.4242,7.4844,15.0,4.6543,22.6534,-13.220649885583544,-1.1009038583949284,1.5534441065553406,0.9772538915293345,-0.04888305188100951,-0.4690212644476098
26.277,6.9231,9.9792,15.0,5.0582,25.9612,-18.39006864988722,-0.9737773426353982,2.073347621087619,0.9772538915293345,-0.04077185994782928,-0.16664294791722367
26.327,7.1726,4.9896,15.0,5.4496,22.5684,-35.68670938215277,-0.9102013440745587,1.033540592023062,0.9772538915293345,-0.03291169524704508,-0.47679143099488686
26.377,7.4221,4.9896,15.0,5.8285,23.213,-25.800260869565157,-0.8466253455137192,1.033540592023062,0.9772538915293345,-0.025302557778656896,-0.4178661444493016
26.427,7.9834,11.2266,15.0,6.1793,29.7098,-9.073112128146317,-0.7035984597734422,2.3332993783537583,0.9772538915293345,-0.018257729528694974,0.17603053819009998
26.477,8.1081,2.4948,15.0,6.5239,22.9669,-11.487171624713834,-0.6718232011740967,0.5136370774907836,0.9772538915293345,-0.011337410786001456,-0.4403630619467708
26.527,8.3576,4.9896,15.0,6.856,25.63,-9.58691533180743,-0.6082472026132574,1.033540592023062,0.9772538915293345,-0.00466811927570398,-0.19691917333437847
26.577,8.5447,3.7422,15.0,7.1788,25.1041,-13.729963386727482,-0.5605715740331647,0.7735888347569227,0.9772538915293345,0.0018144079736908628,-0.24499365083100164
26.627,8.6695,2.4948,15.0,7.4953,24.4171,-16.759771167047795,-0.528770834071671,0.5136370774907836,0.9772538915293345,0.00817041749795812,-0.30779487927781657
26.677,8.6695,0.0,15.0,7.8118,22.3985,-16.657826086956256,-0.528770834071671,-0.006266437041495043,0.9772538915293345,0.01452642702222536,-0.4923226227170325
26.727,8.8566,3.7422,15.0,8.119,25.9098,-15.246906178489471,-0.48109520549157836,0.7735888347569227,0.9772538915293345,0.020695672285589967,-0.1713416133352242
26.777,8.9813,2.4948,15.0,8.4199,25.2228,-11.360759725400221,-0.44931994689223326,0.5136370774907836,0.9772538915293345,0.026738399823826992,-0.23414284178203948
26.827,8.8566,-2.4948,15.0,8.7271,20.8632,-10.07625171624698,-0.48109520549157836,-0.5261699515737737,0.9772538915293345,0.0329076450871916,-0.6326701133056719
26.877,8.919,1.2474,15.0,9.0311,24.0523,-14.769803203661125,-0.4651948355108313,0.25368532022464424,0.9772538915293345,0.03901262737906283,-0.34114260582424794
26.927,8.919,0.0,15.0,9.3352,23.043,-6.8710983981691305,-0.4651948355108313,-0.006266437041495043,0.9772538915293345,0.04511961788879323,-0.4334064775438557
26.977,8.6695,-4.9896,15.0,9.6517,18.3612,-4.053336384439252,-0.528770834071671,-1.0460734661060522,0.9772538915293345,0.05147562741306047,-0.861387250967872
27.027,8.6071,-1.2474,15.0,9.9714,21.228,-9.383025171624555,-0.5446712040524176,-0.2662181943076343,0.9772538915293345,0.05789589990882108,-0.5993223867592405
27.077,8.5447,-1.2474,15.0,10.2941,21.0668,-7.2788787185352755,-0.5605715740331647,-0.2662181943076343,0.9772538915293345,0.06437641894035678,-0.6140582790818412
27.127,8.3576,-3.7422,15.0,10.6262,18.5648,-7.5113135011439836,-0.6082472026132574,-0.7861217088399128,0.9772538915293345,0.07104571045065428,-0.8427754167440414
27.177,8.3576,0.0,15.0,10.9584,21.5928,-9.195446224256147,-0.6082472026132574,-0.006266437041495043,0.9772538915293345,0.0777170101788109,-0.5659746602128095
27.227,8.1705,-3.7422,15.0,11.2998,18.0814,-7.254411899313329,-0.6559228311933495,-0.7861217088399128,0.9772538915293345,0.08457306595001102,-0.8869648109670263
27.277,8.1081,-1.2474,15.0,11.6444,19.9389,-3.3111762013728008,-0.6718232011740967,-0.2662181943076343,0.9772538915293345,0.09149338469270452,-0.7171638184780026
27.327,7.8587,-4.9896,15.0,12.0015,16.2663,-5.162498855835143,-0.7353737183727875,-1.0460734661060522,0.9772538915293345,0.09866473066779406,-1.0528898615548197
27.377,7.6716,-3.7422,15.0,12.3679,16.7923,-8.2004622425627,-0.78304934695288,-0.7861217088399128,0.9772538915293345,0.10602284090378623,-1.004806242685788
27.427,7.5468,-2.4948,15.0,12.7406,17.4793,-0.8359496567504854,-0.8148500869143739,-0.5261699515737737,0.9772538915293345,0.113507468864906,-0.9420050142389731
27.477,7.235,-6.237,15.0,13.1288,13.6456,-1.7983112128147294,-0.8943009740938116,-1.3060252233721914,0.9772538915293345,0.12130337059419681,-1.292457808265982
27.527,6.9231,-6.237,15.0,13.5327,12.8399,-8.02103890160172,-0.9737773426353982,-1.3060252233721914,0.9772538915293345,0.12941456252737704,-1.3661098457617595
27.577,6.736,-3.7422,15.0,13.9459,14.3752,-5.117643020594809,-1.0214529712154905,-0.7861217088399128,0.9772538915293345,0.1377125187214599,-1.22576235517312
27.627,6.4242,-6.237,15.0,14.3747,11.5508,-5.92504805491977,-1.1009038583949284,-1.3060252233721914,0.9772538915293345,0.146323756901573,-1.4839512774805215
27.677,6.237,-3.7422,15.0,14.8128,13.086,-3.7026453089243017,-1.1486049683371693,-0.7861217088399128,0.9772538915293345,0.15512175934258873,-1.3436129282642904
27.727,5.9252,-6.237,15.0,15.2666,10.2617,1.121395881006908,-1.228055855516607,-1.3060252233721914,0.9772538915293345,0.1642350519874939,-1.6017927091992832
27.777,5.7381,-3.7422,15.0,15.7296,11.7969,3.042041189931277,-1.2757314840966996,-0.7861217088399128,0.9772538915293345,0.17353310067544248,-1.4614543599830523
27.827,5.4262,-6.237,15.0,16.2083,8.9726,1.1336292906178702,-1.355207852638286,-1.3060252233721914,0.9772538915293345,0.18314643956728055,-1.7196341409180453
27.877,5.1768,-4.9896,15.0,16.6995,9.3374,-7.625491990846323,-1.4187583698369768,-1.0460734661060522,0.9772538915293345,0.19301080569151458,-1.6862864143716143
27.927,5.1144,-1.2474,15.0,17.1938,12.2042,-3.5558443935922934,-1.4346587398177237,-0.2662181943076343,0.9772538915293345,0.2029374265693828,-1.4242215501629827
27.977,4.6154,-9.9792,15.0,17.713,3.8498,5.761935926773454,-1.5618107369394025,-2.0858804951706094,0.9772538915293345,0.21336409369418396,-2.1879283666638165
28.027,4.3036,-6.237,15.0,18.2478,6.0721,7.723359267734331,-1.6412616241188402,-1.3060252233721914,0.9772538915293345,0.22410404280501534,-1.984779647628362
28.077,4.1165,-3.7422,15.0,18.792,7.6073,7.189167048054799,-1.6889372526989328,-0.7861217088399128,0.9772538915293345,0.2350327643946085,-1.844441298412131
28.127,3.867,-4.9896,15.0,19.3487,5.9534,6.2594279176200995,-1.7525132512597723,-1.0460734661060522,0.9772538915293345,0.24621251321659768,-1.995630456677324
28.177,3.7422,-2.4948,15.0,19.9115,7.6498,8.298329519450736,-1.7843139912212662,-0.5261699515737737,0.9772538915293345,0.2575147633279961,-1.8405562151384924
28.227,3.5551,-3.7422,15.0,20.4838,6.1571,14.81058123569761,-1.8319896198013588,-0.7861217088399128,0.9772538915293345,0.2690077941360155,-1.9770094810810848
28.277,3.2433,-6.237,15.0,21.0716,3.3327,13.322183066361267,-1.9114405069807965,-1.3060252233721914,0.9772538915293345,0.280812098712206,-2.235198403388486
28.327,2.9314,-6.237,15.0,21.6751,2.527,7.527624713958763,-1.990916875522383,-1.3060252233721914,0.9772538915293345,0.29293169349228587,-2.3088504408842634
28.377,2.7443,-3.7422,15.0,22.2878,4.0623,4.204215102974875,-2.0385925041024753,-0.7861217088399128,0.9772538915293345,0.30523604431540924,-2.168502950295624
